"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_parse_chunksize[input_chunksize3-main-xds3-expected_chunksize3-expected_error3]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:16 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_conversion","",""
"","0","test_find_projected_min_max_array[in_min_max1-in_array1-expected_result1]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"Test values and attributes on the time axis","1","test_xds_time_axis","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","fits_to_xds_test","test_image","",""
"","3","test_load_generic_table_state","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:14 GMT 2025","passed","Tue Jul 08 19:15:14 GMT 2025","","test_read","",""
"","2","test_get_baselines[ms_minimal_required-expected_output1]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:15 GMT 2025","passed","Tue Jul 08 19:15:15 GMT 2025","","test_read_main_table","",""
"Test loading with specific data group","228","test_data_group_selection[Antennae_North.cal.lsrk.split.ms]","tests.unit.measurement_set","Tue Jul 08 19:15:36 GMT 2025","passed","Tue Jul 08 19:15:37 GMT 2025","TestLoadProcessingSet","test_load_processing_set","",""
"","0","test_mem_chunksize_to_dict_pointing[0.1-dim_sizes0-expected_chunksize0]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:16 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_conversion","",""
"","1","test_check_dict_constructor","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","0","test_convert_casacore_time[times2-True-expected_result2]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"","2","test_polarization_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_sky_image_tests","test_image","",""
"Test basic loading of processing set without parameters","168","test_basic_load[Antennae_North.cal.lsrk.split.ms]","tests.unit.measurement_set","Tue Jul 08 19:15:28 GMT 2025","passed","Tue Jul 08 19:15:28 GMT 2025","TestLoadProcessingSet","test_load_processing_set","",""
"","1","test_unique_1d[input_array0-expected_unique_array0]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_optimised_functions","",""
"","42","test_create_antenna_xds_minimal_other_telescope","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_create_antenna_xds","",""
"Test that field offsets are correctly calculated","1296","test_field_offset_calculation[ALMA_uid___A002_X1003af4_X75a3.split.avg.ms]","tests.unit.measurement_set","Tue Jul 08 19:17:14 GMT 2025","passed","Tue Jul 08 19:17:15 GMT 2025","TestProcessingSetXdtWithEphemerisData","test_processing_set_xdt","",""
"","71","test_create_field_and_source_xds_without_opt","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_create_field_and_source_xds","",""
"","19","test_interpolate_to_time_main","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_msv4_sub_xdss","",""
"","0","test_convert_casacore_time[times3-True-expected_result3]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"","1","test_find_projected_min_max_array[in_min_max5-in_array5-expected_result5]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"Ensure that extracting the model from the dataclass is consistent","1","test_xarray_dataclass_to_dict_schema","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","1","test_redimension_ms_subtable_source","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:14 GMT 2025","passed","Tue Jul 08 19:15:14 GMT 2025","","test_read","",""
"","1","test_right_ascension_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_sky_image_tests","test_image","",""
"Test that get_max_dims raises an exception on empty DataTree","0","test_get_max_dims_empty","tests.unit.measurement_set","Tue Jul 08 19:16:00 GMT 2025","passed","Tue Jul 08 19:16:00 GMT 2025","TestProcessingSetXdtErrors","test_processing_set_xdt","",""
"","2","test_u_v_coord","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","make_empty_aperture_image_tests","test_image","",""
"","2","test_xds_beam_param_axis","tests.unit.image","Tue Jul 08 19:15:12 GMT 2025","passed","Tue Jul 08 19:15:12 GMT 2025","fits_to_xds_test","test_image","",""
"","15","test_load_generic_table_ephem","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:15 GMT 2025","passed","Tue Jul 08 19:15:15 GMT 2025","","test_read","",""
"","0","test_get_baseline_indices[unique_baselines5-baselines5-expected_output5]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:16 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_read_main_table","",""
"","0","test_mem_chunksize_to_dict_main_balanced[0.05-dim_sizes3-expected_chunksize3]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:16 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_conversion","",""
"","0","test_stokes_types","tests.unit.measurement_set._utils._utils","Tue Jul 08 19:15:19 GMT 2025","passed","Tue Jul 08 19:15:19 GMT 2025","","test_stokes_types","",""
"","0","test_subtables_subt_rename_ids","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:19 GMT 2025","passed","Tue Jul 08 19:15:19 GMT 2025","","test_subtables","",""
"","0","test_unique_1d[input_array2-expected_unique_array2]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_optimised_functions","",""
"","2","test_check_array_constructor_auto_coords","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","1917","test_output_uv_casa_image","tests.unit.image","Tue Jul 08 19:15:01 GMT 2025","passed","Tue Jul 08 19:15:03 GMT 2025","casacore_to_xds_to_casacore","test_image","",""
"","55","test_create_weather_xds_misbehaved","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_msv4_sub_xdss","",""
"","0","test_check_array_extra_attr","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","0","test_check_dict_missing","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"Test loading with selection parameters","247","test_selective_loading[Antennae_North.cal.lsrk.split.ms]","tests.unit.measurement_set","Tue Jul 08 19:15:32 GMT 2025","passed","Tue Jul 08 19:15:32 GMT 2025","TestLoadProcessingSet","test_load_processing_set","",""
"","13","test_load_generic_table_feed","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:14 GMT 2025","passed","Tue Jul 08 19:15:14 GMT 2025","","test_read","",""
"","0","test_find_projected_min_max_array[in_min_max14-in_array14-expected_result14]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"","1","test_check_array_wrong_type","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","350","test_convert_and_write_partition_without_opt","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:17 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_conversion","",""
"","0","test_check_dict","tests.unit.schema","Tue Jul 08 19:17:34 GMT 2025","passed","Tue Jul 08 19:17:34 GMT 2025","","test_schema","",""
"","0","test_find_projected_min_max_array[in_min_max3-in_array3-expected_result3]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"","0","test_create_weather_xds_ms_without_opt_subtables","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:18 GMT 2025","passed","Tue Jul 08 19:15:18 GMT 2025","","test_msv4_sub_xdss","",""
"","1","test_table_has_column[ms_minimal_required-FOO_INEXISTENT-False]","tests.unit.measurement_set._utils._msv2._tables","Tue Jul 08 19:15:13 GMT 2025","passed","Tue Jul 08 19:15:13 GMT 2025","","test_read","",""
"","0","test_check_chunksize[chunksize3-pointing-expectation3]","tests.unit.measurement_set._utils._msv2","Tue Jul 08 19:15:16 GMT 2025","passed","Tue Jul 08 19:15:16 GMT 2025","","test_conversion","",""
