"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_check_dataset_optional_datavar","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","0","test_dims_and_coords","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_sky_image_tests","test_copy_image","",""
"","1","test_dims_and_coords","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_aperture_image_tests","test_copy_image","",""
"","1","test_frequency_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_aperture_image_tests","test_copy_image","",""
"","1","test_check_array_dtype_mismatch","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","206","test_overwrite","tests.integration","Thu Jul 03 15:08:27 GMT 2025","passed","Thu Jul 03 15:08:27 GMT 2025","write_image_test","test_copy_image","",""
"","0","test_polarization_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_lmuv_image_tests","test_copy_image","",""
"","0","test_xarray_dataclass_to_dataset_schema","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"Test values and attributes on the time axis","4","test_xds_time_axis","tests.integration","Thu Jul 03 15:08:10 GMT 2025","passed","Thu Jul 03 15:08:10 GMT 2025","casa_image_to_xds_test","test_copy_image","",""
"Same as above, but passing xarray.Variable instead of tuples","13","test_check_dataset_constructor_dataset_style_variable","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","1","test_time_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_sky_image_tests","test_copy_image","",""
"","2","test_check_array_constructor_from_dataarray_override","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","1","test_check_array_extra_coord","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"Test xds has correct stokes values","1","test_xds_polarization_axis","tests.integration","Thu Jul 03 15:08:10 GMT 2025","passed","Thu Jul 03 15:08:10 GMT 2025","casa_image_to_xds_test","test_copy_image","",""
"","1","test_check_dict_constructor","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","1","test_check_dataset_optional_coordinate","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","1","test_check_array_constructor_mixed","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"Test typical way to construct xarray.Dataset - using tuples","13","test_check_dataset_constructor_dataset_style","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","2","test_attrs","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_sky_image_tests","test_copy_image","",""
"","1","test_vel_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_sky_image_tests","test_copy_image","",""
"","1","test_check_array_optional_attr","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","1","test_frequency_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_lmuv_image_tests","test_copy_image","",""
"","1","test_check_array_dtype_mismatch_expect","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"Test xds level attributes","3","test_xds_attrs","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","fits_to_xds_test","test_copy_image","",""
"Test that coordinates get automatically filled","8","test_check_dataset_constructor_auto_coords","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"Test xds has correct stokes values","1","test_xds_polarization_axis","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","fits_to_xds_test","test_copy_image","",""
"Test xds has correct frequency values and metadata","2","test_xds_frequency_axis","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","fits_to_xds_test","test_copy_image","",""
"Test xds has correct frequencyuency values and metadata","2","test_xds_frequency_axis","tests.integration","Thu Jul 03 15:08:22 GMT 2025","passed","Thu Jul 03 15:08:22 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"Test xds has correct pixel values","175","test_xds_pixel_values","tests.integration","Thu Jul 03 15:08:22 GMT 2025","passed","Thu Jul 03 15:08:22 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
"","26","test_check_dict_dict_attribute","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","7","test_check_array_dask","tests.integration","Thu Jul 03 15:08:28 GMT 2025","passed","Thu Jul 03 15:08:28 GMT 2025","","test_copy_schema","",""
"","1","test_declination_coord","tests.integration","Thu Jul 03 15:08:26 GMT 2025","passed","Thu Jul 03 15:08:26 GMT 2025","make_empty_sky_image_tests","test_copy_image","",""
"
        Test compute_mask parameter
        ","88","test_compute_mask","tests.integration","Thu Jul 03 15:08:23 GMT 2025","passed","Thu Jul 03 15:08:23 GMT 2025","fits_to_xds_test","test_copy_image","",""
"","225","test_beam","tests.integration","Thu Jul 03 15:08:20 GMT 2025","passed","Thu Jul 03 15:08:20 GMT 2025","xds_to_zarr_to_xds_test","test_copy_image","",""
